constituentDate,bondIdentifier,weight,notional,marketValue,ytm,duration,bondRating,country,coupon,currency,bondType,sector
30/09/22,B1287960509354,0.000876451,500000000,365065366.7,7.277805462,7.63120144,BBB,IN,2.875,USD,Corporates,Technology
30/09/22,B1287960479526,0.000798768,350000000,332708226.7,7.090240789,2.202565414,BBB,ID,4.25,USD,Corporates,Technology
30/09/22,B1287960498830,0.001636947,1000000000,681831848.9,6.480408911,7.392872079,BBB,KR,2.375,USD,Corporates,Technology
31/12/22,B1287960494186,0.000788571,400000000,326525458.3,5.51338232,2.728653773,AA,KR,0.875,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960474357,0.000764529,1000000000,316570461.4,5.084323575,1.72686723,A,JP,1.875,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960494188,0.0005197,300000000,215193337.1,5.264747043,7.213089937,AA,KR,1.625,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287959303750,0.001673406,750000000,692911416.7,5.04246052,1.033404803,AA,KR,3.75,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960498828,0.001892325,1000000000,788203721.5,6.109458837,3.218016501,BBB,KR,1.5,USD,Corporates,Technology
30/09/22,B1287960514758,0.000369616,500000000,153955023.1,5.930944794,2.115134122,BBB,JP,1.543,USD,Corporates,Technology
31/12/22,B1287960527381,0.0011539,1500000000,477798423.1,4.883825862,2.569893287,A,JP,3.875,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960473466,0.001033197,500000000,430354038.8,5.615826676,1.918740616,BBB,KR,3,USD,Corporates,Technology
30/09/22,B1287960498826,0.001022969,500000000,426093653.1,5.560168943,1.295050327,BBB,KR,1,USD,Corporates,Technology
30/09/22,B1287960507084,0.001578102,750000000,657321650,5.497366941,3.617837781,A,IN,1.5,USD,Corporates,Technology
30/09/22,B1287960514761,0.000593708,850000000,247295161.3,5.435051699,4.002825213,BBB,JP,2.17,USD,Corporates,Technology
30/09/22,B1287960501482,0.001056148,500000000,439913944.4,5.420839588,3.367462929,A,IN,1.375,USD,Corporates,Technology
